Category: All categories

Month,altın: (Turkey)
2011-01,12
2011-02,12
2011-03,15
2011-04,15
2011-05,14
2011-06,12
2011-07,16
2011-08,29
2011-09,31
2011-10,23
2011-11,19
2011-12,18
2012-01,17
2012-02,16
2012-03,15
2012-04,14
2012-05,16
2012-06,16
2012-07,13
2012-08,14
2012-09,18
2012-10,14
2012-11,14
2012-12,12
2013-01,12
2013-02,14
2013-03,12
2013-04,22
2013-05,16
2013-06,18
2013-07,20
2013-08,22
2013-09,22
2013-10,17
2013-11,16
2013-12,16
2014-01,22
2014-02,17
2014-03,16
2014-04,14
2014-05,13
2014-06,14
2014-07,12
2014-08,12
2014-09,11
2014-10,11
2014-11,15
2014-12,16
2015-01,18
2015-02,17
2015-03,14
2015-04,14
2015-05,11
2015-06,13
2015-07,14
2015-08,18
2015-09,13
2015-10,11
2015-11,16
2015-12,13
2016-01,13
2016-02,17
2016-03,15
2016-04,12
2016-05,15
2016-06,14
2016-07,17
2016-08,14
2016-09,12
2016-10,13
2016-11,17
2016-12,15
2017-01,20
2017-02,17
2017-03,15
2017-04,18
2017-05,18
2017-06,15
2017-07,17
2017-08,16
2017-09,16
2017-10,18
2017-11,18
2017-12,19
2018-01,16
2018-02,15
2018-03,17
2018-04,21
2018-05,27
2018-06,26
2018-07,27
2018-08,58
2018-09,37
2018-10,34
2018-11,28
2018-12,25
2019-01,27
2019-02,24
2019-03,31
2019-04,32
2019-05,30
2019-06,31
2019-07,31
2019-08,36
2019-09,34
2019-10,34
2019-11,27
2019-12,30
2020-01,42
2020-02,49
2020-03,57
2020-04,50
2020-05,44
2020-06,45
2020-07,60
2020-08,100
2020-09,56
2020-10,55
2020-11,83
2020-12,52
2021-01,48
