Category: All categories

Month,başkanlık: (Turkey)
2011-01,5
2011-02,3
2011-03,2
2011-04,3
2011-05,3
2011-06,7
2011-07,2
2011-08,<1
2011-09,2
2011-10,3
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,3
2012-04,2
2012-05,9
2012-06,3
2012-07,2
2012-08,2
2012-09,4
2012-10,3
2012-11,9
2012-12,3
2013-01,2
2013-02,3
2013-03,3
2013-04,4
2013-05,5
2013-06,7
2013-07,3
2013-08,1
2013-09,2
2013-10,4
2013-11,7
2013-12,3
2014-01,3
2014-02,3
2014-03,5
2014-04,5
2014-05,3
2014-06,3
2014-07,4
2014-08,7
2014-09,3
2014-10,5
2014-11,4
2014-12,4
2015-01,4
2015-02,12
2015-03,9
2015-04,14
2015-05,14
2015-06,15
2015-07,5
2015-08,5
2015-09,4
2015-10,6
2015-11,18
2015-12,8
2016-01,11
2016-02,10
2016-03,9
2016-04,6
2016-05,17
2016-06,6
2016-07,15
2016-08,4
2016-09,3
2016-10,25
2016-11,44
2016-12,20
2017-01,93
2017-02,80
2017-03,53
2017-04,56
2017-05,6
2017-06,3
2017-07,3
2017-08,3
2017-09,3
2017-10,5
2017-11,5
2017-12,5
2018-01,8
2018-02,5
2018-03,6
2018-04,13
2018-05,29
2018-06,100
2018-07,14
2018-08,7
2018-09,6
2018-10,9
2018-11,7
2018-12,5
2019-01,5
2019-02,5
2019-03,9
2019-04,9
2019-05,7
2019-06,6
2019-07,4
2019-08,4
2019-09,3
2019-10,11
2019-11,4
2019-12,4
2020-01,3
2020-02,3
2020-03,3
2020-04,4
2020-05,4
2020-06,4
2020-07,4
2020-08,5
2020-09,4
2020-10,6
2020-11,46
2020-12,4
2021-01,6
