Category: All categories

Month,dolar: (Turkey)
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,1
2013-12,2
2014-01,3
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,3
2015-01,3
2015-02,4
2015-03,5
2015-04,5
2015-05,4
2015-06,6
2015-07,5
2015-08,6
2015-09,5
2015-10,5
2015-11,6
2015-12,4
2016-01,4
2016-02,5
2016-03,5
2016-04,5
2016-05,7
2016-06,5
2016-07,8
2016-08,5
2016-09,4
2016-10,5
2016-11,10
2016-12,12
2017-01,14
2017-02,11
2017-03,9
2017-04,10
2017-05,8
2017-06,7
2017-07,7
2017-08,6
2017-09,8
2017-10,11
2017-11,12
2017-12,9
2018-01,9
2018-02,7
2018-03,9
2018-04,11
2018-05,25
2018-06,19
2018-07,22
2018-08,100
2018-09,41
2018-10,39
2018-11,25
2018-12,18
2019-01,21
2019-02,16
2019-03,30
2019-04,37
2019-05,38
2019-06,30
2019-07,31
2019-08,30
2019-09,23
2019-10,30
2019-11,17
2019-12,18
2020-01,17
2020-02,19
2020-03,25
2020-04,21
2020-05,23
2020-06,16
2020-07,15
2020-08,32
2020-09,24
2020-10,29
2020-11,53
2020-12,24
2021-01,22
