Category: All categories

Month,işsizlik: (Turkey)
2011-01,15
2011-02,14
2011-03,14
2011-04,13
2011-05,13
2011-06,17
2011-07,14
2011-08,21
2011-09,18
2011-10,14
2011-11,12
2011-12,16
2012-01,19
2012-02,14
2012-03,13
2012-04,13
2012-05,13
2012-06,12
2012-07,13
2012-08,13
2012-09,14
2012-10,15
2012-11,16
2012-12,16
2013-01,16
2013-02,14
2013-03,15
2013-04,14
2013-05,15
2013-06,16
2013-07,17
2013-08,15
2013-09,18
2013-10,16
2013-11,19
2013-12,16
2014-01,19
2014-02,19
2014-03,18
2014-04,17
2014-05,17
2014-06,17
2014-07,19
2014-08,17
2014-09,19
2014-10,20
2014-11,22
2014-12,22
2015-01,25
2015-02,24
2015-03,22
2015-04,21
2015-05,24
2015-06,24
2015-07,23
2015-08,21
2015-09,24
2015-10,24
2015-11,25
2015-12,25
2016-01,39
2016-02,38
2016-03,34
2016-04,32
2016-05,30
2016-06,31
2016-07,32
2016-08,37
2016-09,33
2016-10,39
2016-11,34
2016-12,35
2017-01,40
2017-02,40
2017-03,35
2017-04,29
2017-05,27
2017-06,31
2017-07,29
2017-08,32
2017-09,30
2017-10,32
2017-11,30
2017-12,31
2018-01,37
2018-02,31
2018-03,29
2018-04,30
2018-05,31
2018-06,33
2018-07,32
2018-08,35
2018-09,40
2018-10,45
2018-11,47
2018-12,54
2019-01,65
2019-02,52
2019-03,41
2019-04,39
2019-05,50
2019-06,44
2019-07,44
2019-08,35
2019-09,40
2019-10,43
2019-11,38
2019-12,40
2020-01,43
2020-02,38
2020-03,61
2020-04,100
2020-05,63
2020-06,50
2020-07,46
2020-08,32
2020-09,31
2020-10,29
2020-11,28
2020-12,34
2021-01,36
